id_associado,nome_associado,cpf,dt_nascimento,telefone,email,UF,cidade,processed_at
31c0fe9c1c31458c9f5767a18d2731b1,Fernanda Barbosa Rocha,11741614148,1977-02-06,76952402,larissa.cardoso.lima@hotmail.com,,Bauru,2026-02-05 18:44:04.865277 UTC
bddba89aa29fefd6608a3f2535368934,Fernanda Barbosa Barbosa,83596762271,1986-01-06,18951837366,pedro.melo.araújo@gmail.com,,Cascavel,2026-02-05 18:44:04.865277 UTC
5143fb8845d1f52d8569251be0601c60,Pedro Alves Silva,39564257054,1978-01-22,91924006616,gustavo.alves.lima@hotmail.com,,Navegantes,2026-02-05 18:44:04.865277 UTC
08f39a73f3e34f0b13757f4cb2392f70,Tiago Cardoso Rodrigues,93711755290,1978-03-17,60902366849,ana.silva.melo@empresa.com,,Piraquara,2026-02-05 18:44:04.865277 UTC
d247692167907238b6bf0974e0a52801,Lucas Araújo Ferreira,81111512110,1990-02-10,40925999688,,AC,Tatuí,2026-02-05 18:44:04.865277 UTC
dd43a1f4ed51fc7445632280a28ad9f7,Lucas Gomes Martins,38153993231,1985-12-04,,tiago.santos.ribeiro@ficticio.com.br,BA,Pato Branco,2026-02-05 18:44:04.865277 UTC
fc5c2d2b2ec406951157de819f3d4ceb,Rodrigo Costa Silva,50056434367,2001-03-08,45904618,gabriel.martins.ribeiro@empresa.com,BA,Porto Alegre,2026-02-05 18:44:04.865277 UTC
cfd1e2cca4a3fdeb51ea05db0de9f566,Camila Oliveira Ribeiro,98770625389,1981-10-07,81996415667,,GO,Cascavel,2026-02-05 18:44:04.865277 UTC
364719239a56384f291a08ae04bb139f,Tiago Cardoso Rocha,18333831372,1996-04-07,38953419230,,GO,Cascavel,2026-02-05 18:44:04.865277 UTC
2b5a6a48e0a2fa55deaa3cf8d6b842c6,Fernanda Melo Melo,26271970552,1967-02-08,,rodrigo.ferreira.silva@empresa.com,GO,Mandaguaçu,2026-02-05 18:44:04.865277 UTC
84d322dc70967f8e37a3be0c4c27b3e2,Mateus Lima Almeida,16778452040,1987-04-01,28957149590,pedro.barbosa.oliveira@outlook.com,GO,Rolândia,2026-02-05 18:44:04.865277 UTC
121ceb852c68495a9d9e5ff6d2f9cf70,Beatriz Souza Cardoso,75538155070,1990-12-19,38985748398,maria.ferreira.ferreira@hotmail.com,GO,Vitorino,2026-02-05 18:44:04.865277 UTC
b1a0cdb19176686d3fe30a8e5f45aa6c,Fernanda Alves Silva,31237593016,1978-06-23,40959933404,gabriel.martins.rodrigues@outlook.com,MG,Cambé,2026-02-05 18:44:04.865277 UTC
8e52bb30969ec508e938f48634eb6131,Rodrigo Santos Souza,26517898394,1989-11-11,,pedro.santos.martins@empresa.com,MG,Cambé,2026-02-05 18:44:04.865277 UTC
b4500ea94a5dd4762ec081e128a417a7,Mateus Silva Araújo,29610721792,1973-05-03,53934592,gustavo.martins.rodrigues@outlook.com,MG,Capinzal,2026-02-05 18:44:04.865277 UTC
39d75fb0ac6481c873a1454b13361241,Julia Melo Rocha,14931713869,1966-02-14,,,MG,Cascavel,2026-02-05 18:44:04.865277 UTC
c1d15304f8af8e29756bce595d293988,Camila Alves Rocha,17039565564,1988-11-22,97995147249,pedro.barbosa.pereira@gmail.com,MG,Cascavel,2026-02-05 18:44:04.865277 UTC
b0e9725cf741d3ca48ad076164bf278a,Bruna Almeida Ribeiro,94346640353,1972-04-17,69941737064,maria.almeida.almeida@outlook.com,MG,Japira,2026-02-05 18:44:04.865277 UTC
70a97bbd01df87fe9f86f58da62951d3,Error,80429710537,1978-01-19,21915896,,MG,Timóteo,2026-02-05 18:44:04.865277 UTC
0ce8ecd7db7a546b7a504d4cf17102d5,Maria Gomes Ferreira,66186660962,1969-08-28,,,MS,Londrina,2026-02-05 18:44:04.865277 UTC
727554bc04e98d462b4d9ae85236be70,Mateus Carvalho Oliveira,35886410132,1964-02-05,,rodrigo.melo.souza@ficticio.com.br,MS,Ribeirão Pires,2026-02-05 18:44:04.865277 UTC
4d1664c6a4252891111d77499284b6c0,Ricardo Rodrigues Souza,17850234345,1982-09-20,25952704363,mateus.carvalho.lima@ficticio.com.br,MT,Cascavel,2026-02-05 18:44:04.865277 UTC
afed8fdf4274cd7740aee2425eb7a6d4,Julia Silva Gomes,99652769588,1982-06-03,26900436978,,MT,São Simão,2026-02-05 18:44:04.865277 UTC
7484797147a8a41c6fa5d435e65ecb9b,Amanda Rodrigues Silva,84073674538,1970-04-20,,,PR,,2026-02-05 18:44:04.865277 UTC
e357d69615d7ce1b6cf484afb465685b,Lucas Cardoso Carvalho,81533372398,1970-06-24,,rafael.barbosa.melo@ficticio.com.br,PR,,2026-02-05 18:44:04.865277 UTC
e0ecf9ac87497a4c43baad1b5a2014ee,Fernanda Costa Cardoso,38166956535,1971-04-28,,camila.rocha.alves@empresa.com,PR,,2026-02-05 18:44:04.865277 UTC
b7492b7fee3e890028f6169cec959bc6,Larissa Alves Lima,75379088510,1969-09-02,18916165595,,PR,Abelardo Luz,2026-02-05 18:44:04.865277 UTC
1d3f22b9c093c032c968b9e2f1d9202e,Mateus Araújo Oliveira,70898775797,1986-03-14,87952305780,gabriel.gomes.ribeiro80@hotmail.com,PR,Abelardo Luz,2026-02-05 18:44:04.865277 UTC
1034cb45fe497d9eaaf87ad2140f8105,Ana Ferreira Ferreira,36831076279,1976-09-08,57910583450,bruna.oliveira.martins@outlook.com,PR,Alvorada Do Sul,2026-02-05 18:44:04.865277 UTC
b5263bad5464625c92e8dbb091435f48,Letícia Ferreira Araújo,49277455818,1981-08-12,57912764499,joão.rodrigues.ferreira@outlook.com,PR,Andirá,2026-02-05 18:44:04.865277 UTC
ae57d55b0bca86e0557b1acdbee0bab1,Rafael Almeida Lima,59826199995,1989-11-13,60904969950,lucas.rocha.silva@hotmail.com,PR,Aral Moreira,2026-02-05 18:44:04.865277 UTC
6eb0384ea1c12ca7605ffc38d6d2b438,Tiago Gomes Martins,39425898361,1989-11-08,18945528018,maria.rodrigues.alves@empresa.com,PR,Arapongas,2026-02-05 18:44:04.865277 UTC
36ff8387b7aa8646d643f6fc69dcd16c,Rodrigo Costa Ferreira,15215788811,1983-10-03,,bruna.silva.gomes@hotmail.com,PR,Araruna,2026-02-05 18:44:04.865277 UTC
4bbcbffdd569f54ccaf0f014e6ee9a3d,Rodrigo Gomes Ribeiro,82965517825,1986-12-25,,lucas.souza.lima@empresa.com,PR,Araruna,2026-02-05 18:44:04.865277 UTC
a056c96870278addb0dda7d208c8d72e,Julia Lima Cardoso,15024651248,1970-10-01,,bruna.rodrigues.rocha@hotmail.com,PR,Araruna,2026-02-05 18:44:04.865277 UTC
5b0a6b0f44a968dba6afb766e0d892b2,Lucas Alves Costa,99798356162,1983-08-11,57933856726,amanda.melo.melo@empresa.com,PR,Arroio Do Meio,2026-02-05 18:44:04.865277 UTC
4c265d2f0c900f419532ca8a0ee6923c,João Ferreira Martins,75965596913,1986-10-26,79959664572,julia.barbosa.ribeiro@ficticio.com.br,PR,Arroio Do Meio,2026-02-05 18:44:04.865277 UTC
101a0b27b8cd1a8aff29b7700ca48578,Lucas Oliveira Cardoso,43223250528,1982-12-03,86916561104,larissa.rodrigues.ribeiro@outlook.com,PR,Assaí,2026-02-05 18:44:04.865277 UTC
18e892e276b7a6a822a25522a44ea2b1,Bruna Ribeiro Rodrigues,53888643197,1977-02-25,77982441,gustavo.souza.lima@gmail.com,PR,Assis Chateaubriand,2026-02-05 18:44:04.865277 UTC
7930a3dfe41d8cebc635513433d43e43,Amanda Souza Pereira,41750956713,1983-08-16,30955646,,PR,Assis Chateaubriand,2026-02-05 18:44:04.865277 UTC
abe3f2c6589d484855598cd30a5cc3eb,Gabriel Alves Martins,59762787235,1978-10-09,,beatriz.barbosa.alves@hotmail.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
9603f74c6aadb66c5c60cd4434fe2511,Error,23273667230,1981-05-22,93994928,amanda.almeida.araújo@outlook.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
e603c2a5fad3a1659576ee64557f1480,Larissa Cardoso Rocha,70649540870,1961-11-24,14992109833,gabriel.santos.silva@outlook.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
701c80913e87eadc53f1194455a7258c,Gabriel Araújo Cardoso,93718240942,1967-03-25,37903245603,pedro.lima.costa@hotmail.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
e839729060433131429133dca9ac12f1,Letícia Araújo Rocha,16933019495,1994-05-09,,gabriel.cardoso.silva@hotmail.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
a5b39f57b34b876ac678cad48195021a,Larissa Martins Ferreira,34159340494,1982-05-23,,maria.costa.ribeiro@ficticio.com.br,PR,Bagé,2026-02-05 18:44:04.865277 UTC
147850cd69aaed49a7dff93392b1cc5e,Mateus Souza Rocha,72677529184,1967-07-26,60920583029,gabriel.pereira.santos@gmail.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
55eff459026b293e4e1929e25816dd40,Tiago Melo Almeida,86374439934,1969-03-12,98993614946,amanda.barbosa.alves@hotmail.com,PR,Bagé,2026-02-05 18:44:04.865277 UTC
c5503703ec66610a26b09f4e5db4c639,Beatriz Ribeiro Gomes,61999717843,1989-12-12,54926686453,rodrigo.ribeiro.ferreira@hotmail.com,PR,Balneário Barra Do Sul,2026-02-05 18:44:04.865277 UTC
c9ce503ab16fab8634d78f1aaed3cc7e,Amanda Barbosa Cardoso,55514389096,1974-04-01,84940459,rodrigo.barbosa.lima@empresa.com,PR,Balneário Barra Do Sul,2026-02-05 18:44:04.865277 UTC
225f9d3bf38985c5c712ce11bdc8bc9c,Rodrigo Carvalho Barbosa,84980345027,1969-03-16,,ana.souza.ribeiro@ficticio.com.br,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
a12ef4548e1710ca04d73333773cddf7,Mateus Lima Gomes,56951663912,1987-01-24,,,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
4fe648043dcc3218dec7b5a19f80fd25,Pedro Ferreira Rocha,12589045477,1989-11-16,,,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
caf06efdf2fdf20ccdd6bc0b76680ba9,Fernanda Martins Pereira,60375980688,1971-04-17,25967853,letícia.ribeiro.souza@empresa.com,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
b90e49a488d42c3b745bb58662ec27f9,Bruna Souza Ribeiro,54542498875,1996-06-08,14921665529,camila.costa.martins@outlook.com,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
38dfe52a94ba669f7707c751c0d6c8dc,Tiago Pereira Souza,86357371979,1970-08-11,,beatriz.santos.ferreira@gmail.com,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
5b1c67dc2892315ce68719af4afe01c3,Rodrigo Melo Cardoso,84293952479,1987-07-20,26970482710,pedro.pereira.rodrigues@hotmail.com,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
d1120c0aa8446d870ed1390b7aab5c4b,Amanda Cardoso Ribeiro,61586527848,1993-03-23,99937019,,PR,Balsa Nova,2026-02-05 18:44:04.865277 UTC
