id_associado,nome_associado,cpf,dt_nascimento,telefone,email,UF,cidade,processed_at
31c0fe9c1c31458c9f5767a18d2731b1,Fernanda Barbosa Rocha,11741614148,1977-02-06,76952402,larissa.cardoso.lima@hotmail.com,,Bauru,2026-02-12 20:03:14.997274 UTC
bddba89aa29fefd6608a3f2535368934,Fernanda Barbosa Barbosa,83596762271,1986-01-06,18951837366,pedro.melo.araújo@gmail.com,,Cascavel,2026-02-12 20:03:14.997274 UTC
5143fb8845d1f52d8569251be0601c60,Pedro Alves Silva,39564257054,1978-01-22,91924006616,gustavo.alves.lima@hotmail.com,,Navegantes,2026-02-12 20:03:14.997274 UTC
08f39a73f3e34f0b13757f4cb2392f70,Tiago Cardoso Rodrigues,93711755290,1978-03-17,60902366849,ana.silva.melo@empresa.com,,Piraquara,2026-02-12 20:03:14.997274 UTC
d247692167907238b6bf0974e0a52801,Lucas Araújo Ferreira,81111512110,1990-02-10,40925999688,,AC,Tatuí,2026-02-12 20:03:14.997274 UTC
e7cfa1540e64381bd43599da46a27865,Fernanda Oliveira Barbosa,91237111948,1975-03-26,33959146890,fernanda.oliveira.barbosa@ficticio.com.br,BA,Feira De Santana,2026-02-12 20:03:14.997274 UTC
56eee228965cb88fea2a2e9b43339fb5,Paulo Monteiro Almeida,41020317246,1968-11-19,33925374950,paulo.monteiro.almeida@ficticio.com.br,BA,Feira De Santana,2026-02-12 20:03:14.997274 UTC
3378e4a2fe339d8424532c1b74652df1,Camila Monteiro Rodrigues,25433265263,2001-08-09,49927275084,camila.monteiro.rodrigues@ficticio.com.br,BA,Feira De Santana,2026-02-12 20:03:14.997274 UTC
c1f649a2680fc3219c9944065245b359,Vanessa Lima Martins,85293427910,1997-11-27,70988123196,vanessa.lima.martins@ficticio.com.br,BA,Feira De Santana,2026-02-12 20:03:14.997274 UTC
d54682838d59725379e6ae6165a5651e,Juliana Martins Nascimento,33999290432,1970-11-26,50949476893,juliana.martins.nascimento@ficticio.com.br,BA,Feira De Santana,2026-02-12 20:03:14.997274 UTC
